Local time,Open,High,Low,Close,Volume
20.04.2020 01:32:00.000 GMT+0100,1.08634,1.08634,1.08630,1.08632,31.96
20.04.2020 01:33:00.000 GMT+0100,1.08630,1.08630,1.08625,1.08628,14.82
20.04.2020 01:34:00.000 GMT+0100,1.08628,1.08631,1.08624,1.08631,33.9
20.04.2020 01:35:00.000 GMT+0100,1.08631,1.08636,1.08626,1.08634,34.02
20.04.2020 01:36:00.000 GMT+0100,1.08634,1.08634,1.08626,1.08629,66.74
20.04.2020 01:37:00.000 GMT+0100,1.08629,1.08632,1.08628,1.08631,63.04
20.04.2020 01:38:00.000 GMT+0100,1.08631,1.08652,1.08630,1.08652,47.99
20.04.2020 01:39:00.000 GMT+0100,1.08651,1.08661,1.08649,1.08661,45.85
20.04.2020 01:40:00.000 GMT+0100,1.08660,1.08661,1.08651,1.08657,95.38
20.04.2020 01:41:00.000 GMT+0100,1.08657,1.08658,1.08654,1.08657,65.41
20.04.2020 01:42:00.000 GMT+0100,1.08657,1.08659,1.08653,1.08653,86.89
20.04.2020 01:43:00.000 GMT+0100,1.08652,1.08654,1.08651,1.08652,47.47
20.04.2020 01:44:00.000 GMT+0100,1.08651,1.08652,1.08650,1.08651,34.63
20.04.2020 01:45:00.000 GMT+0100,1.08649,1.08649,1.08637,1.08645,44.73
20.04.2020 01:46:00.000 GMT+0100,1.08646,1.08651,1.08642,1.08642,32.07
20.04.2020 01:47:00.000 GMT+0100,1.08643,1.08650,1.08642,1.08649,33.29
20.04.2020 01:48:00.000 GMT+0100,1.08650,1.08664,1.08646,1.08650,181.22
20.04.2020 01:49:00.000 GMT+0100,1.08650,1.08656,1.08649,1.08652,37.5
20.04.2020 01:50:00.000 GMT+0100,1.08652,1.08662,1.08651,1.08659,46.69
20.04.2020 01:51:00.000 GMT+0100,1.08660,1.08661,1.08646,1.08656,89.76
20.04.2020 01:52:00.000 GMT+0100,1.08657,1.08661,1.08652,1.08653,75.08
20.04.2020 01:53:00.000 GMT+0100,1.08654,1.08662,1.08652,1.08653,193.08
20.04.2020 01:54:00.000 GMT+0100,1.08652,1.08682,1.08650,1.08676,276.63
20.04.2020 01:55:00.000 GMT+0100,1.08679,1.08684,1.08653,1.08655,249.56
20.04.2020 01:56:00.000 GMT+0100,1.08656,1.08671,1.08651,1.08652,161.12
20.04.2020 01:57:00.000 GMT+0100,1.08651,1.08654,1.08625,1.08626,118.25
20.04.2020 01:58:00.000 GMT+0100,1.08626,1.08634,1.08625,1.08625,33.74
20.04.2020 01:59:00.000 GMT+0100,1.08626,1.08633,1.08604,1.08604,164.47
20.04.2020 02:00:00.000 GMT+0100,1.08605,1.08615,1.08604,1.08614,163.84
20.04.2020 02:01:00.000 GMT+0100,1.08615,1.08623,1.08615,1.08619,154.3
20.04.2020 02:02:00.000 GMT+0100,1.08620,1.08620,1.08614,1.08620,42.65
20.04.2020 02:03:00.000 GMT+0100,1.08619,1.08639,1.08616,1.08635,69.21
20.04.2020 02:04:00.000 GMT+0100,1.08636,1.08636,1.08604,1.08608,84.44
20.04.2020 02:05:00.000 GMT+0100,1.08609,1.08613,1.08605,1.08605,79.97
20.04.2020 02:06:00.000 GMT+0100,1.08604,1.08628,1.08603,1.08617,199.24
20.04.2020 02:07:00.000 GMT+0100,1.08618,1.08619,1.08606,1.08613,139.73
20.04.2020 02:08:00.000 GMT+0100,1.08613,1.08619,1.08608,1.08619,152.02
20.04.2020 02:09:00.000 GMT+0100,1.08622,1.08623,1.08609,1.08619,202.95
20.04.2020 02:10:00.000 GMT+0100,1.08619,1.08619,1.08613,1.08613,161.63
20.04.2020 02:11:00.000 GMT+0100,1.08613,1.08621,1.08613,1.08621,68.71
20.04.2020 02:12:00.000 GMT+0100,1.08621,1.08634,1.08615,1.08615,178.32
20.04.2020 02:13:00.000 GMT+0100,1.08615,1.08618,1.08615,1.08617,118.37
20.04.2020 02:14:00.000 GMT+0100,1.08615,1.08626,1.08615,1.08622,68.02
20.04.2020 02:15:00.000 GMT+0100,1.08620,1.08620,1.08607,1.08609,96.4
20.04.2020 02:16:00.000 GMT+0100,1.08608,1.08631,1.08598,1.08631,175.27
20.04.2020 02:17:00.000 GMT+0100,1.08634,1.08635,1.08629,1.08634,90.04
20.04.2020 02:18:00.000 GMT+0100,1.08634,1.08639,1.08634,1.08636,40.42
20.04.2020 02:19:00.000 GMT+0100,1.08635,1.08635,1.08625,1.08629,65.66
20.04.2020 02:20:00.000 GMT+0100,1.08628,1.08637,1.08623,1.08633,76.04
20.04.2020 02:21:00.000 GMT+0100,1.08632,1.08644,1.08632,1.08642,71.24
20.04.2020 02:22:00.000 GMT+0100,1.08643,1.08644,1.08625,1.08629,90.97
20.04.2020 02:23:00.000 GMT+0100,1.08630,1.08637,1.08627,1.08637,123.21
20.04.2020 02:24:00.000 GMT+0100,1.08637,1.08643,1.08631,1.08635,120.92
20.04.2020 02:25:00.000 GMT+0100,1.08635,1.08638,1.08627,1.08632,104.69
